Advertisement    Quảng cáo
Balloon          Bóng bay
Candle           Nến
Duck             Con vịt
Element          Thành phần, nguyên tố
Failure          Sự thất bại
Goodbye          Tạm biệt
Hello            Xin chào
Ignore           Bỏ qua
Joke             Chuyện đùa
Languague        Ngôn ngữ
Monday           Thứ Hai
Neutral          Trung tính
Origin           Nguồn gốc, khởi nguyên
Pen              Cây bút
Question         Câu hỏi
Route            Con đường, lời thoại
Star             Ngôi sao
Television       Tivi
Unique           Độc nhất
Vertical         Thẳng
Weight           Cân nặng
York             Lòng tráng trứng
Zerba            Hươu cao cổ
