Advertisement    Quảng cáo
Bubble           Bong bóng
Center           Trung tâm
Desk             Cái bàn
Eternal          Vĩnh hằng, trường tồn
Freedom          Sự tự do
Gamble           Món cược
Hate             Ghét
Injustice        Phi công lý
Joke             Chuyện đùa
Lamb             Thịt cừu
Monster          Quái vật
Nature           Thiên nhiên
Opposite         Đối điện
Pencil           Bút chì
Querry           Mỏ đá
Ring             Cái nhẫn
Seperate         Phân cách, chia cách
Tomb             Hầm mộ
Union            Sự đoàn tụ
Van              Xe tải
Weight           Cân nặng
York             Lòng tráng trứng
Zerba            Hươu cao cổ
